领取方式,发放时间,发放金额,领取数量,领取规则,url,城市,省份
小程序和支付宝APP,9月29日，10月1日，10月6日，10月12日，10月18日，10月25日上午10点,2000万,预计投放62万张,1.微信：2020年9月29日、10月1日、10月6日、10月12日、10月18日、10月25日上午10点由系统从当期已预约报名市民中随机抽取。中奖市民将受到“微信支付”消息提醒，消费券自动存入微信“卡包”。每人每次仅限获得一张电子消费券。,http://qy.bendibao.com/,清远,广东
微信领取,即日起-2021年2月28日,快车券5-98折随机优惠；代驾新客立减12元，老客立减3元,,1、领取有效时间：即日起-2021年2月28日，领取后7天内有效,http://zhanjiang.bendibao.com/,湛江,广东
支付宝APP领取,2月1日-2月11日,每份消费券包内含7张消费券，其中满40元减10元2张、满25元减5元2张、满5元减1元3张，合计33元。,,消费者可在支付宝APP主页活动会场领取“33消费券包”，数量有限，先到先得，领完即止。消费券领取后3日有效。,http://nn.bendibao.com/,南宁,广西
支付宝APP领取,3月26日至5月26日,每张暖心卡包含50张消费电子券，涵盖餐饮、购物、酒店景区及公交出行等消费领域，总价值268元！,,通过支付宝APP首页搜索“33”领取。领取消费券后，到任意一个在广西区内经营并参与活动的商家消费，通过支付宝支付结算，便可使用消费券抵扣金额。,http://wuzhou.bendibao.com/,梧州,广西
微信领取,2020年4月9日起,未公布,,"集结千万优惠，联合上百家商户打造“乐享暖春复工礼”，吃喝玩乐全包了！福利加倍快乐升级！生活里没有免费二字,但暖春复工礼有!度假区湖景房免单住、龙虾烧烤免费享、海鲜自助吃到饱…这里不仅有惊喜免单礼,还有更多优惠等你抢!",http://nj.bendibao.com/,南京,江苏
支付宝,2020年8月24日-10月30日,总额为6000万元，分三期发放，满51减50,,通过支付宝平台，分三期发放共计30万份文旅消费抵用券。凡在支付宝平台完成实名认证的用户，均可在活动期间登陆支付宝首页“苏州文旅消费券”入口或在搜索框输入“苏州文旅消费券”后进行领取。消费券可在参与活动的旅行社、景区和江南小剧场购买线路产品和门票线下支付时直接抵扣。,http://suzhou.bendibao.com/,苏州,江苏
“最江阴”APP领取,2020年4月10日至2020年5月31日,3000万元,,全体江阴市民（江阴户籍人口及江阴暂住登记人口）通过“最江阴”APP下载注册并预约报名。预约报名信息必须填写正确（姓名、身份证号码、手机号码、支付宝个人账号），如填写错误，将导致消费券无法发放。预约信息一旦提交，不得更改。“最江阴”APP注册手机号必须与支付宝注册手机号一致。,http://wx.bendibao.com/,无锡,江苏
小程序,2月10日-3月15日,不管乘坐几站，都可以直接使用,8000张,预约报名抽奖方式，通过常州优选小程序，报名参加“留常过大年更牛气，免费乘地铁涨牛运”乘车券发放活动，到期后自动开奖，每个微信号可中奖1次。 ,http://cz.bendibao.com/,常州,江苏
报名参与抽奖,每周四发放,总金额2000万，每人50元消费券,不定,报名时间：每周一到周三,http://nt.bendibao.com/,南通,江苏
支付宝、口碑APP,9月10日至9月30日,综合体券面额30元，满100-30；餐饮全面额30，满70-30。,,券当天领当天用，当日24：00作废；,http://xz.bendibao.com/,徐州,江苏
中国银行手机银行APP,首期发放时间：2020年5月25日上午10:00；后期发放时间：2020年6月至2020年9月，连续,"总额5000万元，面值为""满100元减50元""普通消费券、“满200元减100元”冰雪消费券",,1、下载中国银行“手机银行”或“缤纷生活”APP，在“生活”-“运动专区”-“江苏体育局消费券专区”领取“满100元减50元”普通消费券和“满200元减100元”冰雪消费券；,http://yz.bendibao.com/,扬州,江苏
智慧靖江APP/支付宝,2月17日,在靖江缴纳养老保险的外地人员：每人600元；其余符合条件的外地人员：每人300元,,申领对象：1.在靖江缴纳养老保险的外地人员； 2.不在靖江缴纳养老保险的人员中的以下三类：高新技术企业、规上工业企业、规上服务业企业、限上批零住餐企业、省级疫情防控物资重点保供企业的外地员工、外包工；参与市重点工程和重大项目建设的企业外地员工、外包工；外地种养殖从业人员。 ,http://taizhou.bendibao.com/,泰州,江苏
微信小程序,2020年4月1日至30日，每天上午10时起,每张50元，总共1.92亿元,每天400张，总共384万张,"4月1日-4月30，每天都可以登陆小程序参与大转盘抽奖，或来到万达广场扫码摇一摇抽奖。活动期间,每天每个顾客线上和线下各最多可抽中1张消费券,每个顾客最多获得不超过2张券。",http://ha.bendibao.com/,淮安,江苏
支付宝申领,2020年7月1日-17日,每个支付宝账户每天17元消费券，分别是满10减2、满30减5、满60减10各一张。,总额100亿,每天在活动页面展示的多个时段都可参与抢券，消费券库存数量有限，每场发放用户先到先得，发完即止。消费券领取后当天24点前有效，比如7月1日早上8:00领取的，那么须在7月1日23:59分之前使用。,http://hz.bendibao.com/,杭州,浙江
